Country;Category;DateTime;Value;Frequency;HistoricalDataSymbol;LastUpdate
China;GDP From Construction;2009-03-31T00:00:00;3282.5;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;2009-06-30T00:00:00;8947.1;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;2009-09-30T00:00:00;15022.2;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;2009-12-31T00:00:00;22601.1;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;2010-03-31T00:00:00;3927.2;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;2010-06-30T00:00:00;10678.4;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;2010-09-30T00:00:00;17958.5;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;2010-12-31T00:00:00;27177.6;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;2011-03-31T00:00:00;4736.6;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;2011-06-30T00:00:00;12893;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;2011-09-30T00:00:00;21839.8;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;2011-12-30T00:00:00;32840;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;2012-03-30T00:00:00;5413.2;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;2012-06-30T00:00:00;14655;Quarterly;CHINAGDPFROCON;2017-04-17T09:24:00
China;GDP From Construction;2012-09-28T00:00:00;24751;Quarterly;CHINAGDPFROCON;2017-04-17T09:24:00
China;GDP From Construction;2012-12-31T00:00:00;36896.1;Quarterly;CHINAGDPFROCON;2017-04-17T09:24:00
China;GDP From Construction;2013-03-29T00:00:00;6022.1;Quarterly;CHINAGDPFROCON;2017-04-17T09:24:00
China;GDP From Construction;2013-06-28T00:00:00;16203.9;Quarterly;CHINAGDPFROCON;2017-04-17T09:24:00
China;GDP From Construction;2013-09-30T00:00:00;27391.9;Quarterly;CHINAGDPFROCON;2017-04-17T09:24:00
China;GDP From Construction;2013-12-31T00:00:00;40896.8;Quarterly;CHINAGDPFROCON;2017-04-17T09:24:00
China;GDP From Construction;2014-03-31T00:00:00;6687.1;Quarterly;CHINAGDPFROCON;2017-04-17T09:24:00
